denoiser,problem,algorithm,schedule,rho,step,red_input_sigma,lambda,mean_final_psnr,mean_gap_psnr,fail_rate,n
wavelet,blur,red_gd,fixed10p0,0.8,4.0,15.0,0.05,21.532325974188844,1.203224495924896,0.0,40
wavelet,blur,red_gd,fixed10p0,0.8,4.0,15.0,0.1,21.192316187143398,0.8632147088794501,0.0,40
wavelet,blur,red_gd,fixed10p0,0.8,4.0,15.0,0.2,20.43752196965885,0.10842049139490409,0.44999999999999996,40
wavelet,blur,red_gd,fixed10p0,0.8,4.0,15.0,0.5,19.741015465031246,-0.5880860132326967,0.8,40
wavelet,blur,red_gd,fixed10p0,0.8,8.0,15.0,0.02,21.819270663139665,1.4901691848757206,0.0,40
wavelet,blur,red_gd,fixed10p0,0.8,8.0,15.0,0.05,21.499728615735712,1.1706271374717683,0.0,40
wavelet,blur,red_gd,fixed10p0,0.8,8.0,15.0,0.1,20.862074479755414,0.532973001491466,0.09999999999999998,40
wavelet,blur,red_gd,fixed10p0,0.8,8.0,15.0,0.2,20.085394801154216,-0.24370667710973012,0.725,40
wavelet,blur,red_gd,fixed10p0,0.8,8.0,15.0,0.5,17.28185986446996,-3.047241613793984,1.0,40
wavelet,blur,red_gd,fixed15p0,0.8,1.0,15.0,0.02,22.240673272877928,1.9115717946139814,0.0,40
wavelet,blur,red_gd,fixed15p0,0.8,1.0,15.0,0.05,21.613828633810435,1.2847271555464896,0.0,40
wavelet,blur,red_gd,fixed15p0,0.8,1.0,15.0,0.1,21.18244469119959,0.8533432129356442,0.0,40
wavelet,blur,red_gd,fixed15p0,0.8,1.0,15.0,0.2,20.528551145933765,0.19944966766981836,0.4,40
wavelet,blur,red_gd,fixed15p0,0.8,1.0,15.0,0.5,19.772300579368256,-0.5568008988956923,0.9,40
wavelet,blur,red_gd,fixed15p0,0.8,2.0,15.0,0.02,21.916302811859374,1.5872013335954303,0.0,40
wavelet,blur,red_gd,fixed15p0,0.8,2.0,15.0,0.05,21.331291975216896,1.0021904969529511,0.0,40
wavelet,blur,red_gd,fixed15p0,0.8,2.0,15.0,0.1,20.69600312907386,0.36690165080991133,0.17500000000000004,40
wavelet,blur,red_gd,fixed15p0,0.8,2.0,15.0,0.2,20.043578960359348,-0.2855225179045989,0.775,40
wavelet,blur,red_gd,fixed15p0,0.8,2.0,15.0,0.5,19.30893535500032,-1.0201661232636279,1.0,40
wavelet,blur,red_gd,fixed15p0,0.8,4.0,15.0,0.02,21.695686892876147,1.3665854146122032,0.0,40
wavelet,blur,red_gd,fixed15p0,0.8,4.0,15.0,0.05,21.01208827967803,0.682986801414081,0.07499999999999996,40
wavelet,blur,red_gd,fixed15p0,0.8,4.0,15.0,0.1,20.26769859996168,-0.06140287830226594,0.525,40
wavelet,blur,red_gd,fixed15p0,0.8,4.0,15.0,0.2,19.655852079931286,-0.6732493983326624,0.975,40
wavelet,blur,red_gd,fixed15p0,0.8,4.0,15.0,0.5,19.723790350973,-0.6053111272909455,0.95,40
wavelet,blur,red_gd,fixed15p0,0.8,8.0,15.0,0.02,21.61218263067473,1.283081152410784,0.0,40
wavelet,blur,red_gd,fixed15p0,0.8,8.0,15.0,0.05,20.631770518064513,0.30266903980056775,0.32499999999999996,40
wavelet,blur,red_gd,fixed15p0,0.8,8.0,15.0,0.1,19.987929122441784,-0.341172355822161,0.775,40
wavelet,blur,red_gd,fixed15p0,0.8,8.0,15.0,0.2,19.38390104265085,-0.9452004356130939,1.0,40
wavelet,blur,red_gd,fixed15p0,0.8,8.0,15.0,0.5,15.149855920769644,-5.179245557494303,1.0,40
wavelet,blur,red_gd,fixed20p0,0.8,1.0,15.0,0.02,22.184325329504034,1.8552238512400883,0.0,40
wavelet,blur,red_gd,fixed20p0,0.8,1.0,15.0,0.05,21.377563660201847,1.0484621819379005,0.0,40
wavelet,blur,red_gd,fixed20p0,0.8,1.0,15.0,0.1,20.574909450248594,0.2458079719846502,0.375,40
wavelet,blur,red_gd,fixed20p0,0.8,1.0,15.0,0.2,19.973354873611246,-0.355746604652701,0.8,40
wavelet,blur,red_gd,fixed20p0,0.8,1.0,15.0,0.5,19.293895557050156,-1.0352059212137905,1.0,40
wavelet,blur,red_gd,fixed20p0,0.8,2.0,15.0,0.02,21.780152882362408,1.4510514040984606,0.0,40
wavelet,blur,red_gd,fixed20p0,0.8,2.0,15.0,0.05,20.74856195126471,0.41946047300076145,0.22499999999999998,40
wavelet,blur,red_gd,fixed20p0,0.8,2.0,15.0,0.1,20.100728001939196,-0.22837347632475175,0.7,40
wavelet,blur,red_gd,fixed20p0,0.8,2.0,15.0,0.2,19.501424652203706,-0.8276768260602377,0.975,40
wavelet,blur,red_gd,fixed20p0,0.8,2.0,15.0,0.5,18.85008959753956,-1.479011880724384,1.0,40
wavelet,blur,red_gd,fixed20p0,0.8,4.0,15.0,0.02,21.33422092302493,1.005119444760984,0.0,40
wavelet,blur,red_gd,fixed20p0,0.8,4.0,15.0,0.05,20.331794253732284,0.002692775468338654,0.55,40
wavelet,blur,red_gd,fixed20p0,0.8,4.0,15.0,0.1,19.70543128455528,-0.6236701937086643,0.95,40
