denoiser,problem,algorithm,schedule,rho,step,red_input_sigma,lambda,mean_final_psnr,mean_gap_psnr,fail_rate,n
wavelet,blur,pnp_hqs,linear25p0_to_10p0,0.4,0.5,0.0,0.15,21.20866239808964,1.0987957735247844,0.0,144
wavelet,blur,pnp_hqs,linear25p0_to_10p0,0.8,0.5,0.0,0.15,21.126249396579933,1.0163827720150789,0.0,144
wavelet,blur,pnp_hqs,linear25p0_to_10p0,1.6,0.5,0.0,0.15,21.120378524083876,1.0105118995190225,0.04861111111111116,144
wavelet,blur,red_gd,fixed10p0,0.8,1.0,15.0,0.02,21.989301263052184,1.8794346384873302,0.0,144
wavelet,blur,red_gd,fixed10p0,0.8,1.0,15.0,0.05,21.424319177972748,1.3144525534078952,0.0,144
wavelet,blur,red_gd,fixed10p0,0.8,1.0,15.0,0.1,21.126721874371434,1.016855249806581,0.0,144
wavelet,blur,red_gd,fixed10p0,0.8,1.0,15.0,0.2,20.978443206734017,0.8685765821691643,0.0,144
wavelet,blur,red_gd,fixed10p0,0.8,1.0,15.0,0.5,20.549066121093297,0.43919949652844226,0.19444444444444442,144
wavelet,blur,red_gd,fixed10p0,0.8,2.0,15.0,0.02,21.702506322535033,1.5926396979701798,0.0,144
wavelet,blur,red_gd,fixed10p0,0.8,2.0,15.0,0.05,21.23165589864004,1.1217892740751858,0.0,144
wavelet,blur,red_gd,fixed10p0,0.8,2.0,15.0,0.1,21.081749072816137,0.971882448251283,0.0,144
wavelet,blur,red_gd,fixed10p0,0.8,2.0,15.0,0.2,20.822330540543692,0.71246391597884,0.01388888888888884,144
wavelet,blur,red_gd,fixed10p0,0.8,2.0,15.0,0.5,19.92999262539082,-0.17987399917403482,0.6527777777777778,144
wavelet,blur,red_gd,fixed10p0,0.8,4.0,15.0,0.02,21.483480183760992,1.3736135591961394,0.0,144
wavelet,blur,red_gd,fixed10p0,0.8,4.0,15.0,0.05,21.24178394795173,1.1319173233868747,0.0,144
wavelet,blur,red_gd,fixed10p0,0.8,4.0,15.0,0.1,21.013286773979548,0.9034201494146951,0.0,144
wavelet,blur,red_gd,fixed10p0,0.8,4.0,15.0,0.2,20.46261097700161,0.35274435243675567,0.2569444444444444,144
wavelet,blur,red_gd,fixed10p0,0.8,4.0,15.0,0.5,19.56586626199184,-0.5440003625730178,0.8680555555555556,144
wavelet,blur,red_gd,fixed10p0,0.8,8.0,15.0,0.02,21.47710205721052,1.3672354326456624,0.0,144
