dataset,input_pose,problem,algorithm,denoiser,train_sigma,schedule,rho,step,red_input_sigma,lambda,mode,base_group_size,num_iter,mean_final_psnr,mean_degraded_psnr,mean_final_se,mean_degraded_se,fail_rate,mean_gap_psnr,n,final_psnr_from_mean_se,degraded_psnr_from_mean_se
val_images,rot45_padded,blur,red_gd,tv,15.0,fixed3p25,0.8,3.9603960396039612,1.4142135623730951,0.005,vanilla,0,20,32.79175746901606,28.959984049555874,0.0006098802900480477,0.0013868018804579318,0.0,3.831773419460184,10,32.14755401831164,28.57985578126147
val_images,rot45_padded,blur,red_gd,tv,15.0,fixed4p1,0.8,3.8461538461538467,1.4142135623730951,0.02,vanilla,0,20,32.65004976385927,28.959984049555874,0.000636025373200003,0.0013868018804579318,0.0,3.6900657143033926,10,31.965255585324897,28.57985578126147
val_images,rot45_padded,blur,red_gd,tv,15.0,fixed4p1,0.8,3.921568627450981,1.4142135623730951,0.01,vanilla,0,20,32.77118827948995,28.959984049555874,0.0006156404291793651,0.0013868018804579318,0.0,3.8112042299340665,10,32.106728677343696,28.57985578126147
val_images,rot45_padded,blur,red_gd,tv,15.0,fixed4p1,0.8,3.9603960396039612,1.4142135623730951,0.005,vanilla,0,20,32.79175746901606,28.959984049555874,0.0006098802900480477,0.0013868018804579318,0.0,3.831773419460184,10,32.14755401831164,28.57985578126147
val_images,rot45_padded,blur,red_gd,tv,15.0,fixed5p0,0.8,3.8461538461538467,1.4142135623730951,0.02,vanilla,0,20,32.65004976385927,28.959984049555874,0.000636025373200003,0.0013868018804579318,0.0,3.6900657143033926,10,31.965255585324897,28.57985578126147
val_images,rot45_padded,blur,red_gd,tv,15.0,fixed5p0,0.8,3.921568627450981,1.4142135623730951,0.01,vanilla,0,20,32.77118827948995,28.959984049555874,0.0006156404291793651,0.0013868018804579318,0.0,3.8112042299340665,10,32.106728677343696,28.57985578126147
val_images,rot45_padded,blur,red_gd,tv,15.0,fixed5p0,0.8,3.9603960396039612,1.4142135623730951,0.005,vanilla,0,20,32.79175746901606,28.959984049555874,0.0006098802900480477,0.0013868018804579318,0.0,3.831773419460184,10,32.14755401831164,28.57985578126147
val_images,rot45_padded,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.8461538461538467,1.4142135623730951,0.02,vanilla,0,20,32.03835310427914,28.959984049555874,0.0007044086586622525,0.0013868018804579318,0.0,3.078369054723261,10,31.52175314280392,28.57985578126147
val_images,rot45_padded,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.921568627450981,1.4142135623730951,0.01,vanilla,0,20,32.5009443518955,28.959984049555874,0.0006404936774990062,0.0013868018804579318,0.0,3.5409603023396246,10,31.934851529463764,28.57985578126147
val_images,rot45_padded,blur,red_gd,wavelet,15.0,fixed3p25,0.8,3.9603960396039612,1.4142135623730951,0.005,vanilla,0,20,32.703507627579235,28.959984049555874,0.0006162488952052268,0.0013868018804579318,0.0,3.743523578023357,10,32.10243846305714,28.57985578126147
val_images,rot45_padded,blur,red_gd,wavelet,15.0,fixed4p1,0.8,3.8461538461538467,1.4142135623730951,0.02,vanilla,0,20,31.925116261233235,28.959984049555874,0.0007277213358662571,0.0013868018804579318,0.0,2.965132211677355,10,31.380348919286977,28.57985578126147
val_images,rot45_padded,blur,red_gd,wavelet,15.0,fixed4p1,0.8,3.921568627450981,1.4142135623730951,0.01,vanilla,0,20,32.39311285046832,28.959984049555874,0.0006597510513797395,0.0013868018804579318,0.0,3.4331288009124465,10,31.806199090153694,28.57985578126147
