dataset,denoiser,noise_sigma,angle_index,angle_deg,estimator,group_size,mean_se,mean_psnr,n,psnr_from_mean_se,save_dir
val_images,nlm,15.0,22,110.0,group_avg,8,0.0003197748151324,35.29249641797385,20,34.95155743465639,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,22,110.0,group_avg,16,0.0003173444495259,35.32897541979431,20,34.98469093257769,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,22,110.0,group_avg,32,0.0003170218739618,35.332184066988816,20,34.98910771179121,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,22,110.0,vanilla,0,0.0003319895655441,35.1319607657688,20,34.788755659881986,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,23,115.0,group_avg,4,0.000286469625354,35.77732200742122,20,35.42921419911043,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,23,115.0,group_avg,8,0.0002856922630638,35.78201123626501,20,35.441015207448764,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,23,115.0,group_avg,16,0.0002834121615868,35.82044988011315,20,35.47581517543931,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,23,115.0,group_avg,32,0.0002831936433749,35.82297039718172,20,35.479164991396935,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,23,115.0,vanilla,0,0.0002960339719789,35.63158334561462,20,35.286584477369104,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,24,120.0,group_avg,4,0.0002583280453072,36.22873936413959,20,35.87828442216079,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,24,120.0,group_avg,8,0.0002580450011675,36.22316471095348,20,35.88304549639456,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,24,120.0,group_avg,16,0.0002565140495834,36.25048394310361,20,35.908888430687995,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,24,120.0,group_avg,32,0.0002557862427912,36.26454506915057,20,35.92122817326093,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,24,120.0,vanilla,0,0.0002669035390352,36.08314324684237,20,35.736456676014484,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,25,125.0,group_avg,4,0.0002339342976482,36.66225474931879,20,36.30906100604575,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,25,125.0,group_avg,8,0.0002336428126742,36.65753527438788,20,36.314475742112776,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,25,125.0,group_avg,16,0.0002325316854587,36.67896236942583,20,36.33517860484553,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,25,125.0,group_avg,32,0.0002317868178065,36.69488089157635,20,36.349112668912426,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,25,125.0,vanilla,0,0.0002417993763397,36.51520564403973,20,36.16544823626472,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,26,130.0,group_avg,4,0.0002145452149553,37.03914166148695,20,36.68481167179514,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,26,130.0,group_avg,8,0.0002143366379351,37.03236274897373,20,36.68903585873509,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,26,130.0,group_avg,16,0.0002135375611582,37.049315910357976,20,36.70525721720982,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,26,130.0,group_avg,32,0.0002132908542304,37.05378456241976,20,36.71027766408908,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,26,130.0,vanilla,0,0.0002218156678276,36.8902281919733,20,36.54007780951632,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,27,135.0,group_avg,4,0.0001985164516448,37.37900029309209,20,37.02203496142523,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,27,135.0,group_avg,8,0.0001954050498962,37.45043666028918,20,37.09064216903161,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,27,135.0,group_avg,16,0.0001962598739624,37.42291935233848,20,37.07168484394109,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,27,135.0,group_avg,32,0.0001967952766418,37.40718963876778,20,37.05985329446342,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,27,135.0,vanilla,0,0.0002051576942443,37.23419217944915,20,36.879121905897485,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,28,140.0,group_avg,4,0.0002148537711215,37.03300567169615,20,36.678570191599306,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
val_images,nlm,15.0,28,140.0,group_avg,8,0.0002142662330351,37.03677606001495,20,36.69046265551581,results/figure5_angle_psnr_grid/sigma15/val_images/nlm
