E_x_EhSE_hx,E_x_SEavg_x,E_x_e1,E_x_EhSE_minus_SEavg,E_x_EhSE_hx_psnr,E_x_SEavg_x_psnr,sigma,dataset,model,group,averaging,num_noise,noise_sigma,noise_mask,se_mask,max_images,save_dir
0.006665434800189,0.0049187837652677,0.0015818643520224,0.0017466510349212,21.76171515392844,23.081422690477314,25.0,val_images,wavelet,fourier_rotation,16,2,25.0,none,none,10,results/q2_orbit_averaging_grid/sigma25/val_images/wavelet
0.0067060541383502,0.0047624416735379,0.0017102993308025,0.0019436124648122,21.73532944809398,23.221703301647693,25.0,val_images,wavelet,fourier_rotation,32,2,25.0,none,none,10,results/q2_orbit_averaging_grid/sigma25/val_images/wavelet
0.0077264529038965,0.0063748643806554,0.0014370116035432,0.0013515885232411,21.120198382701297,21.9552905000922,25.0,val_images_circle,wavelet,fourier_rotation,8,2,25.0,circle,circle,10,results/q2_orbit_averaging_grid/sigma25/val_images_circle/wavelet
0.0077198487292975,0.0059024085219486,0.0018603534271235,0.0018174402073489,21.123912095962574,22.289707350786763,25.0,val_images_circle,wavelet,fourier_rotation,16,2,25.0,circle,circle,10,results/q2_orbit_averaging_grid/sigma25/val_images_circle/wavelet
0.007719266768916,0.0056823340189926,0.0020636430802581,0.0020369327499234,21.124239500965164,22.45473241161877,25.0,val_images_circle,wavelet,fourier_rotation,32,2,25.0,circle,circle,10,results/q2_orbit_averaging_grid/sigma25/val_images_circle/wavelet
0.0031059787714741,0.0030068826765284,0.000111519382066,9.9096094945633e-05,25.078015168827864,25.218835170043445,50.0,val_images,bm3d,fourier_rotation,8,2,50.0,none,none,10,results/q2_orbit_averaging_grid/sigma50/val_images/bm3d
0.0031354188438836,0.0030160099822889,0.0001257795958122,0.0001194088615947,25.037044358740104,25.20567225386541,50.0,val_images,bm3d,fourier_rotation,16,2,50.0,none,none,10,results/q2_orbit_averaging_grid/sigma50/val_images/bm3d
0.0031484967141998,0.0030230371625669,0.0001283368970047,0.0001254595516328,25.01896755595404,25.195565139539863,50.0,val_images,bm3d,fourier_rotation,32,2,50.0,none,none,10,results/q2_orbit_averaging_grid/sigma50/val_images/bm3d
0.0034092469237321,0.003320933527169,0.0001117725681463,8.831339656307508e-05,24.673415427045956,24.787398172870677,50.0,val_images_circle,bm3d,fourier_rotation,8,2,50.0,circle,circle,10,results/q2_orbit_averaging_grid/sigma50/val_images_circle/bm3d
0.0034264988734885,0.0033253227444776,0.0001286275310425,0.0001011761290108,24.651494066272026,24.78166197174868,50.0,val_images_circle,bm3d,fourier_rotation,16,2,50.0,circle,circle,10,results/q2_orbit_averaging_grid/sigma50/val_images_circle/bm3d
