denoiser,dataset,group,averaging,noise_mask,noise_sigma,EhSE_psnr,SEavg_psnr,gain_psnr,realized_gain,predicted_gain,tracking,sigma
restormer,val_images_circle,rotation,2,circle,25.0,28.19152427897123,28.20613645172868,0.01461217275744886,5.093867630546697e-06,7.520163998419195e-06,0.6773612426028838,25.0
restormer,val_images_circle,rotation,4,circle,25.0,28.205520693062045,28.229149285866626,0.02362859280458096,8.202015458887981e-06,1.234947700507418e-05,0.6641589320355769,25.0
restormer,val_images_circle,rotation,8,circle,25.0,25.080462145435924,26.196360802029318,1.1158986565933944,0.0007033853618502851,0.0009485617324321372,0.7415282925727845,25.0
restormer,val_images_circle,rotation,16,circle,25.0,24.443867881193896,25.273146671841577,0.8292787906476811,0.0006247771081437568,0.0011423428751120477,0.5469260777614383,25.0
restormer,val_images_circle,rotation,32,circle,25.0,24.248269195176917,24.876966741192234,0.6286975460153172,0.000506727889715926,0.001176210445256273,0.4308139685033319,25.0
restormer,val_images_diag_padded,fourier_rotation,2,circle,25.0,28.463245926283356,28.47822957881793,0.014983652534574787,4.906364645080609e-06,3.657280089603882e-05,0.13415337422548937,25.0
restormer,val_images_diag_padded,fourier_rotation,4,circle,25.0,28.46918139911724,28.50594538965317,0.03676399053593116,1.1991770038469206e-05,4.1981358559985715e-05,0.2856451160658505,25.0
restormer,val_images_diag_padded,fourier_rotation,8,circle,25.0,21.734857858175786,26.593601601001808,4.858743742826022,0.00451579517452612,0.001001148426831188,4.510615063162423,25.0
restormer,val_images_diag_padded,fourier_rotation,16,circle,25.0,20.280698288581466,25.676957717418766,5.3962594288373005,0.006668259532169307,0.0012058086592637515,5.530114152805011,25.0
restormer,val_images_diag_padded,fourier_rotation,32,circle,25.0,19.773016452370722,25.264668322450735,5.4916518700800125,0.007561231636814688,0.001265774352616353,5.973601551639625,25.0
restormer,val_images_diag_padded,rotation,2,circle,25.0,28.782602910278996,28.792606564201254,0.010003653922257882,3.0451870190790706e-06,4.485450683893276e-06,0.6789032437730232,25.0
restormer,val_images_diag_padded,rotation,4,circle,25.0,28.77870345818949,28.79787503581184,0.019171577622348224,5.835055200851294e-06,8.69365367424669e-06,0.6711856049817747,25.0
restormer,val_images_diag_padded,rotation,8,circle,25.0,25.5066478124237,26.890699401969982,1.3840515895462815,0.0007679569921910475,0.001069311796048115,0.7181787342374855,25.0
restormer,val_images_diag_padded,rotation,16,circle,25.0,24.884327258261276,25.816827613702547,0.9325003554412703,0.0006275392478278704,0.001279934217860766,0.490290234506517,25.0
restormer,val_images_diag_padded,rotation,32,circle,25.0,24.724475296396097,25.37870407686291,0.6542287804668128,0.0004711909388168867,0.0013008649272446317,0.362213577250421,25.0
restormer,square_val_images,fourier_rotation,2,circle,50.0,22.938740642896622,22.97237777733085,0.03363713443422611,3.921749448404523e-05,0.0005894147666581362,0.06653632840995921,50.0
restormer,square_val_images,fourier_rotation,4,circle,50.0,22.91093785420635,22.983844082675592,0.07290622846924322,8.516209245612496e-05,0.0005823200618377579,0.14624619352347207,50.0
restormer,square_val_images,fourier_rotation,8,circle,50.0,19.156936409801673,21.16350560127547,2.0065691914737975,0.004492662275498117,0.002554718616880866,1.7585742108003055,50.0
restormer,square_val_images,fourier_rotation,16,circle,50.0,18.118442799529014,20.100814269530304,1.98237147000129,0.005651993286191972,0.003024680152668372,1.8686251110570435,50.0
restormer,square_val_images,fourier_rotation,32,circle,50.0,17.76755058038485,19.625413141492093,1.8578625611072432,0.005819525859824748,0.003156606117030193,1.843602161330122,50.0
restormer,square_val_images,rotation,2,circle,50.0,21.699589511445268,21.47462662166752,-0.22496288977774626,-0.0003594713786085111,0.000479895746448518,-0.7490613977489677,50.0
restormer,square_val_images,rotation,4,circle,50.0,21.70851156032761,21.504035919237236,-0.20447564109037586,-0.00032528947061544894,0.0005380202976376625,-0.6046044583145445,50.0
restormer,square_val_images,rotation,8,circle,50.0,20.41584572863123,21.076267521929953,0.660421793298724,0.001281887153440386,0.0017189234356716407,0.7457500007494574,50.0
restormer,square_val_images,rotation,16,circle,50.0,20.28401784856566,20.980666597344836,0.6966487487791753,0.0013882281563620917,0.0017798157573821847,0.7799841925233577,50.0
restormer,square_val_images,rotation,32,circle,50.0,20.253839431884995,20.942897529056314,0.6890580971713192,0.0013838534944427031,0.0018039400002121664,0.7671283381265144,50.0
restormer,val_images,fourier_rotation,2,circle,50.0,22.612140670156666,22.645318105341428,0.03317743518476135,4.170485498329363e-05,0.0008433392616809075,0.049452049582239664,50.0
restormer,val_images,fourier_rotation,4,circle,50.0,22.57002932953618,22.63208738736814,0.06205805783196183,7.850760478399164e-05,0.0008269130995916226,0.09494057455706438,50.0
restormer,val_images,fourier_rotation,8,circle,50.0,18.996439217082205,22.100858470417823,3.1044192533356174,0.006434848972166006,0.001829119019955799,3.5180045158141238,50.0
restormer,val_images,fourier_rotation,16,circle,50.0,18.190176362701983,21.632935330794112,3.4427589680921287,0.008303845450590363,0.0019908292341361596,4.171048580263331,50.0
restormer,val_images,fourier_rotation,32,circle,50.0,18.033912311220508,21.356980195091133,3.3230678838706247,0.008409179441292826,0.002017882481694165,4.167328631661783,50.0
restormer,val_images,rotation,2,circle,50.0,21.165009005153802,21.02003607880404,-0.14497292634976233,-0.0002595795671031205,0.0004602223391919567,-0.5640307846830769,50.0
restormer,val_images,rotation,4,circle,50.0,21.160709910942042,21.04928877930814,-0.11142113163390377,-0.00019892768558615274,0.0005633283935198835,-0.35312916564204977,50.0
restormer,val_images,rotation,8,circle,50.0,20.970921159084437,21.505912316284345,0.534991157199908,0.0009268195414856715,0.0013762475608050304,0.6734395525057514,50.0
restormer,val_images,rotation,16,circle,50.0,21.10351191643254,21.711380269316635,0.6078683528840934,0.0010130597507928313,0.0014571073671112,0.6952540174175916,50.0
restormer,val_images,rotation,32,circle,50.0,21.222834295397163,21.837950908122124,0.615116612724961,0.0009965448172991544,0.0014961969103283069,0.6660519149718636,50.0
restormer,val_images_circle,fourier_rotation,2,circle,50.0,25.13215127800467,25.14976933524634,0.01761805724166976,1.2418752518387968e-05,0.00010219729343085619,0.12151743066258547,50.0
restormer,val_images_circle,fourier_rotation,4,circle,50.0,25.125129704973773,25.157065378325637,0.03193567335186387,2.2510388506792665e-05,0.00011449873942298641,0.19659944397845092,50.0
